variation,accuracy,best_params,best_score,roc_auc
0.00,0.7195121951219512,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.7195121951219512,0.7049446974625895
0.00,0.7439024390243902,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.7682926829268293,0.5227272727272727
0.00,0.7439024390243902,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.7560975609756098,0.6847755367599219
0.25,0.6829268292682927,"{'svm__C': 0.01, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 500}",0.7682926829268293,0.67816091954023
0.25,0.8170731707317073,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 1000}",0.7804878048780488,0.8347368421052632
0.25,0.7926829268292683,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.8292682926829268,0.7191091954022989
0.25,0.7804878048780488,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.8414634146341463,0.55
0.25,0.8292682926829268,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.7682926829268293,0.7595959595959596
0.50,0.7804878048780488,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.8414634146341463,0.6516129032258065
0.50,0.7804878048780488,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7682926829268293,0.6624561403508772
0.50,0.6219512195121951,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.8048780487804879,0.5789835164835164
0.50,0.7439024390243902,"{'svm__C': 2, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.7682926829268293,0.6937830687830688
0.50,0.9024390243902439,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8414634146341463,0.825136612021858
0.75,0.7439024390243902,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 500}",0.8048780487804879,0.5780640124902421
0.75,0.8536585365853658,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8536585365853658,0.7560606060606061
0.75,0.8658536585365854,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8048780487804879,0.7912280701754386
0.75,0.8414634146341463,"{'svm__C': 2, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8170731707317073,0.7571849668386147
0.75,0.8048780487804879,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7804878048780488,0.7397527651268705
1.00,0.8292682926829268,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7560975609756098,0.761675824175824
1.00,0.8536585365853658,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7926829268292683,0.7923497267759565
1.00,0.7804878048780488,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7804878048780488,0.6641483516483516
1.00,0.7926829268292683,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.7804878048780488,0.6304347826086957
