variation,accuracy,accuracy_female,accuracy_male,auroc,auroc_female,auroc_male,Recall,Precision,F1-score,best_params,best_score
0.75,0.6634615384615384,0.6538461538461539,0.6730769230769231,0.7455621301775148,0.7455621301775148,0.7544378698224852,0.7884615384615384,0.6307692307692307,0.7008547008547008,"{'logistic__C': 0.01, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.7663551401869159
0.75,0.6442307692307693,0.6153846153846154,0.6730769230769231,0.7267011834319527,0.7292899408284024,0.7233727810650887,0.75,0.6190476190476191,0.6782608695652174,"{'logistic__C': 1, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.719626168224299
0.75,0.6634615384615384,0.6538461538461539,0.6730769230769231,0.7455621301775148,0.7455621301775148,0.7544378698224852,0.7884615384615384,0.6307692307692307,0.7008547008547008,"{'logistic__C': 0.01, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.7009345794392523
0.75,0.6634615384615384,0.6346153846153846,0.6923076923076923,0.7377958579881656,0.7396449704142011,0.7366863905325444,0.7115384615384616,0.6491228070175439,0.6788990825688074,"{'logistic__C': 0.05, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.7289719626168224
1.00,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7329881656804734,0.7292899408284024,0.7366863905325444,0.6730769230769231,0.7,0.6862745098039216,"{'logistic__C': 0.05, 'logistic__class_weight': 'balanced', 'logistic__fit_intercept': False, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.6448598130841121
1.00,0.6057692307692307,0.5769230769230769,0.6346153846153846,0.7237426035502958,0.7218934911242604,0.7263313609467457,0.7307692307692307,0.5846153846153846,0.6495726495726496,"{'logistic__C': 5, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.8411214953271028
1.00,0.6442307692307693,0.6153846153846154,0.6730769230769231,0.7274408284023668,0.727810650887574,0.727810650887574,0.7115384615384616,0.6271186440677966,0.6666666666666666,"{'logistic__C': 0.1, 'logistic__class_weight': 'balanced', 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.6915887850467289
1.00,0.6634615384615384,0.6153846153846154,0.7115384615384616,0.7463017751479291,0.7455621301775148,0.7544378698224852,0.8076923076923077,0.6268656716417911,0.7058823529411765,"{'logistic__C': 0.01, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.719626168224299
1.00,0.6538461538461539,0.6153846153846154,0.6923076923076923,0.7222633136094675,0.7100591715976332,0.735207100591716,0.6538461538461539,0.6538461538461539,0.6538461538461539,"{'logistic__C': 0.1, 'logistic__class_weight': None, 'logistic__fit_intercept': False, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.7757009345794392
0.00,0.6826923076923077,0.7307692307692307,0.6346153846153846,0.7396449704142012,0.7455621301775148,0.7514792899408285,0.8076923076923077,0.6461538461538462,0.717948717948718,"{'logistic__C': 0.1, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.6728971962616822
