variation,accuracy,accuracy_female,accuracy_male,ROC,ROC_female,ROC_male
1.00,0.7307692307692307,0.7884615384615384,0.6730769230769231,0.7448224852071006,0.7855029585798816,0.7041420118343195
1.00,0.6730769230769231,0.6153846153846154,0.7307692307692307,0.7396449704142012,0.6730769230769231,0.7899408284023669
1.00,0.6923076923076923,0.7692307692307693,0.6153846153846154,0.8158284023668639,0.8313609467455622,0.7855029585798816
1.00,0.7019230769230769,0.6538461538461539,0.75,0.7806952662721893,0.735207100591716,0.819526627218935
0.00,0.6634615384615384,0.7115384615384616,0.6153846153846154,0.7540680473372782,0.8076923076923077,0.6982248520710059
0.00,0.625,0.5961538461538461,0.6538461538461539,0.7218934911242604,0.7588757396449703,0.6893491124260355
0.00,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.8394970414201184,0.8964497041420119,0.772189349112426
0.00,0.7211538461538461,0.75,0.6923076923076923,0.8099112426035503,0.8831360946745562,0.7263313609467456
0.00,0.7019230769230769,0.7307692307692307,0.6730769230769231,0.7629437869822485,0.797337278106509,0.7292899408284024
0.25,0.6826923076923077,0.6923076923076923,0.6730769230769231,0.6926775147928994,0.7189349112426036,0.658284023668639
0.25,0.6923076923076923,0.6730769230769231,0.7115384615384616,0.7732988165680473,0.7736686390532544,0.7677514792899409
0.25,0.7115384615384616,0.6730769230769231,0.75,0.7551775147928994,0.7307692307692307,0.7707100591715977
0.25,0.7211538461538461,0.7692307692307693,0.6730769230769231,0.8091715976331362,0.8683431952662722,0.742603550295858
0.25,0.5769230769230769,0.5576923076923077,0.5961538461538461,0.6281434911242604,0.5931952662721893,0.658284023668639
0.50,0.7019230769230769,0.7307692307692307,0.6730769230769231,0.7816198224852071,0.841715976331361,0.735207100591716
0.50,0.7115384615384616,0.75,0.6730769230769231,0.7965976331360947,0.8180473372781065,0.7840236686390533
0.50,0.6634615384615384,0.6923076923076923,0.6346153846153846,0.698594674556213,0.7869822485207101,0.6065088757396451
0.50,0.6730769230769231,0.7307692307692307,0.6153846153846154,0.7096893491124261,0.8165680473372782,0.6242603550295859
0.50,0.7403846153846154,0.75,0.7307692307692307,0.7755177514792899,0.7677514792899409,0.7884615384615385
0.75,0.7307692307692307,0.75,0.7115384615384616,0.8265532544378698,0.8668639053254438,0.7810650887573964
0.75,0.7019230769230769,0.6538461538461539,0.75,0.7100591715976331,0.6671597633136095,0.7485207100591715
0.75,0.7115384615384616,0.7692307692307693,0.6538461538461539,0.7577662721893491,0.8210059171597633,0.6923076923076923
0.75,0.7596153846153846,0.75,0.7692307692307693,0.757026627218935,0.8017751479289941,0.7026627218934912
0.75,0.7115384615384616,0.7307692307692307,0.6923076923076923,0.7792159763313609,0.8328402366863905,0.7307692307692307
1.00,0.6442307692307693,0.5769230769230769,0.7115384615384616,0.783284023668639,0.7071005917159763,0.841715976331361
1.00,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.8021449704142013,0.831360946745562,0.7884615384615384
1.00,0.7019230769230769,0.75,0.6538461538461539,0.7239275147928994,0.8010355029585798,0.6642011834319527
1.00,0.7019230769230769,0.6730769230769231,0.7307692307692307,0.8202662721893492,0.8402366863905325,0.8136094674556213
1.00,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7451923076923076,0.7559171597633136,0.7514792899408285
